family,rep,method,kind,mag,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,P_trigger,E_returns,E_return_km,P_late,E_late_min,P_defer,n_veh
solomon_c101,2,DET,congestion,0.2,450.93196,363.31033,857.41239,87.62162,575.46694,0.57,1.085,79.32526,1.0,1402.38246,0.0,19.0
solomon_c101,2,DET,feas_drop,0.2,418.3245,363.31033,857.41239,55.01417,529.94504,0.57,1.085,79.32526,1.0,750.23334,0.0,19.0
solomon_c101,2,SAA,demand_mean,0.1,440.51114,386.22622,911.49389,54.28492,553.46584,0.585,1.125,72.61733,1.0,767.19836,0.0,17.0
solomon_c101,2,SAA,demand_mean,0.2,477.3199,410.67612,969.19565,66.64377,610.08377,0.82,2.09,138.42818,1.0,975.77547,0.0,17.0
solomon_c101,2,SAA,demand_mean,0.3,521.06149,437.90136,1033.44722,83.16013,673.63586,0.95,3.195,218.37427,1.0,1261.90254,0.0,17.0
solomon_c101,2,SAA,demand_var,0.25,416.11558,367.59382,867.52142,48.52176,513.98589,0.37,0.58,35.97398,1.0,673.73519,0.0,17.0
solomon_c101,2,SAA,demand_var,0.5,418.35892,368.69909,870.12986,49.65983,521.84108,0.405,0.67,41.58372,1.0,692.89658,0.0,17.0
solomon_c101,2,SAA,congestion,0.1,427.148,366.34706,864.57905,60.80095,522.99789,0.33,0.48,29.67102,1.0,923.31895,0.0,17.0
solomon_c101,2,SAA,congestion,0.2,442.33136,366.34706,864.57905,75.98431,544.19284,0.33,0.48,29.67102,1.0,1226.98615,0.0,17.0
solomon_c101,2,SAA,feas_drop,0.2,413.23625,366.34706,864.57905,46.8892,503.22744,0.33,0.48,29.67102,1.0,645.08393,0.0,17.0
solomon_c101,2,Q90C,demand_mean,0.1,401.35444,372.37686,878.80939,28.97758,453.81302,0.155,0.2,8.55067,1.0,291.30166,0.0,18.0
solomon_c101,2,Q90C,demand_mean,0.2,414.75958,384.58912,907.63033,30.17045,479.79628,0.27,0.395,19.23855,1.0,307.35909,0.0,18.0
solomon_c101,2,Q90C,demand_mean,0.3,434.92223,401.19431,946.81857,33.72792,526.00456,0.495,0.895,50.74765,1.0,358.50841,0.0,18.0
solomon_c101,2,Q90C,demand_var,0.25,390.48,361.78455,853.81154,28.69545,441.33285,0.1,0.135,5.79726,1.0,288.25895,0.0,18.0
solomon_c101,2,Q90C,demand_var,0.5,391.12295,362.19718,854.78535,28.92577,446.87073,0.13,0.18,7.89518,1.0,291.06534,0.0,18.0
solomon_c101,2,Q90C,congestion,0.1,395.2981,361.23575,852.51636,34.06235,443.64413,0.075,0.08,3.03777,1.0,397.79699,0.0,18.0
solomon_c101,2,Q90C,congestion,0.2,402.6218,361.23575,852.51636,41.38605,455.07656,0.075,0.08,3.03777,1.0,544.271,0.0,18.0
solomon_c101,2,Q90C,feas_drop,0.2,389.52028,361.23575,852.51636,28.28453,434.14365,0.075,0.08,3.03777,1.0,282.2406,0.0,18.0
solomon_c101,2,RO,demand_mean,0.1,525.13237,479.36202,1131.29437,45.77035,570.59375,0.035,0.04,1.54465,1.0,644.75698,0.0,22.0
